id,created_at,text
1219283627030216704,Mon Jan 20 15:40:44 +0000 2020,@Maria59043110 @todoesmentiratv @antonlosada @vox_es @Santi_ABASCAL Los juegos eroticos de los niños y niñas empie… https://t.co/ZOwYYtIRnx
1219283954500558849,Mon Jan 20 15:42:02 +0000 2020,@chemadp Q son del pp y punto !
1219284583738421251,Mon Jan 20 15:44:32 +0000 2020,@TeodoroDelValle @pablocasado_ Sabe usted que la ley en vigor es de su partido?Quiere decir que el PP adoctrinan… https://t.co/0sGIeVjzOP
1219287029135106050,Mon Jan 20 15:54:15 +0000 2020,No no se le va la pinza. Está consiguiendo algo histórico hundir al PP y a Ciudadanos de un solo golpe.
1219287114556284931,Mon Jan 20 15:54:36 +0000 2020,El Ayuntamiento de Villanueva de la Jara se adhiere mediante declaración institucional al @ManiPorCuenca en pleno… https://t.co/mA2ht2sdi3
1219288105372606464,Mon Jan 20 15:58:32 +0000 2020,Saca la bandera Paco pero la grande la más grande😂😂😂😂😂😂😂https://t.co/E1CT1JoZCK
1219289420957978625,Mon Jan 20 16:03:45 +0000 2020,Resueltos por incomparecencia o rendición.
1219289745093734400,Mon Jan 20 16:05:03 +0000 2020,Lo mismo le escuece que @IdiazAyuso sea presidenta de la Comunidad de Madrid en vez de su hermano Ángel. En todo ca… https://t.co/kiAB1QRrhm
1219290112619696129,Mon Jan 20 16:06:30 +0000 2020,@pablocasado_¿Se acuerdan cuando Carlos de Inglaterra dijo que le gustaría ser el tampax de Camila de Cornualles?.… https://t.co/WQJ86scI4O
1219291129369092097,Mon Jan 20 16:10:33 +0000 2020,El PP critica que el Gobierno local "no tiene en su agenda la participación ciudadana" https://t.co/TwOTuXE3Av
1219293304162082817,Mon Jan 20 16:19:11 +0000 2020,El PP exige a Grande-Marlaska que "cumpla" y dote a los agentes de Policía y Guardia Civil de chalecos antibalas https://t.co/2KZ6yjfmgt
1219293941612384257,Mon Jan 20 16:21:43 +0000 2020,El cateto de Murcia alias lanzador de huesos de aceitunada lecciones...lecciones de qué??? De cómo contaminar el… https://t.co/SEO6IPN87l
1219295472529092611,Mon Jan 20 16:27:48 +0000 2020,@eldiarioes Y al PP no queréis que lo Ilegalizen los que Roban que lo sigan haciendo?
1219295987660992512,Mon Jan 20 16:29:51 +0000 2020,El PP es el único partido liberal de la UE que hace la ola a la ultraderecha https://t.co/R538k9TCSr vía @diario_16
1219299668833853441,Mon Jan 20 16:44:29 +0000 2020,@baphomed75 @albertdmcat @alertatrollcat @MnicaRebullCome @BelBoix1 @NiNetaAltraCop @NuriaJomba12 @griscuenc… https://t.co/bSeZ4cQl6j
1219300366308847617,Mon Jan 20 16:47:15 +0000 2020,José Perez Royo le ha llamado hoy en ARV "analfabeto jurídico".Un adjetivo muy acertado por cierto.
1219300441567133696,Mon Jan 20 16:47:33 +0000 2020,https://t.co/23lML9Y9ob y otra. Es puro bilis contra el pp el liberal conservadurismo y todo aquello que no sea es… https://t.co/AePWKMY646
1219300474303713280,Mon Jan 20 16:47:41 +0000 2020,Ciertamente lo es!
1219302694193717248,Mon Jan 20 16:56:30 +0000 2020,Creo que PPVOXy los 10 de Csmás alguno sueltopodían tener opción de gobernarpero seguro.Pero no sé qué tiene q… https://t.co/va2AKt3Vms
1219303692136001536,Mon Jan 20 17:00:28 +0000 2020,@NacionDigital2 Ciudadanos desaparece y PP se va al centro izquierda o a la mierda  solo VOX sabe lo que hace.
1219304014841548806,Mon Jan 20 17:01:45 +0000 2020,@beaveil @BertoEsquer Ojo y en base a unos valores que ordena la LOMCE que una ley del PP!
1219304057061433344,Mon Jan 20 17:01:55 +0000 2020,El #PSOE  de #Benidorm denuncia la falta de previsión del #PP ante el fuerte #temporal.Desde el PSOE han criticado… https://t.co/np3SnT0U6b
1219305973682188294,Mon Jan 20 17:09:32 +0000 2020,@Sayo_cab75 Este juicio lo juzga una jueza del PP ?.? Punto y final.
1219306794272555009,Mon Jan 20 17:12:48 +0000 2020,Poniendo por delante el sacrosanto derecho a la libertad de expresión de imagen etc.. pues no sé que pasaría si e… https://t.co/z3xCGpU6MP
1219306967623258112,Mon Jan 20 17:13:29 +0000 2020,No confundir EDUCACIÓN con ENSEÑANZA. La Educación es competencia de los padres la Enseñanza de los colegios.
1219310676793090049,Mon Jan 20 17:28:13 +0000 2020,@iescolar Un inútil mental¡! Normal...le regalaron una carrera de derecho y un máster por la cara y por ser del PP¡!
1219310971170234369,Mon Jan 20 17:29:23 +0000 2020,@ViJmontesvilla @pablocasado_ Como el PP siga así va a echar d menos al corrupto Mariano Rajoy.
1219311077814685697,Mon Jan 20 17:29:49 +0000 2020,@razanon @protestona1 Experiencia el pp?Si defraudando!Y robando mogollón!
1219311899294171138,Mon Jan 20 17:33:05 +0000 2020,Pero esto que es??? Chantaje puro y duro. Típico de mafias!!. Gobierno mafioso!!
1219312180543283205,Mon Jan 20 17:34:12 +0000 2020,El PP logra apartar del ‘caso Bárcenas’ a un juez que condenó al partido en Gürtel https://t.co/n2kEblKxvT vía @elpais_espana
1219312809156235264,Mon Jan 20 17:36:42 +0000 2020,Vox se rie del PP...o el PP se deja ser un hazmerreír de Vox ? (de ciudadanos mejor no comentar nada...animalicosss) #PINParentalVOX
1219313321305952256,Mon Jan 20 17:38:44 +0000 2020,@pmarzo1 @pdiaz222f @eldiarioe ¿Torear?. Parece que en el PP es un mérito. ¡Así llevan años toreando a los españoles.!😡
1219313733471744000,Mon Jan 20 17:40:22 +0000 2020,@SimnMuoz @MasPais_Es @ierrejon Los maleducados son los pp cs y vox según quedó en evidencia en el congreso en la… https://t.co/esstIEpETG
1219313981644574721,Mon Jan 20 17:41:21 +0000 2020,@Francis16893780 @InesArrimadas El PP y Ciudadanos  partido reactivo antinatura no no y no : a todo .
1219314237564166146,Mon Jan 20 17:42:22 +0000 2020,@InesArrimadas Salgamos del posicionam de Vox y PPhttps://t.co/4DDQSKK3Ik🤔
